212F30	3007
213D53	5F65
213D54	5F6C
213D55	5F69
213D57	5F6D
213D58	5F70
213D59	5F71
213D5B	5F79
213D5C	5F80
213D5E	5F7F
213D5F	5F7C
213D60	5F85
213D61	5F88
213D62	5F8B
213D63	5F8A
213D64	5F87
213D65	5F8C
213D66	5F92
213D67	5F91
213D68	5F90
213D69	5F98
213D6A	5F97
213D6B	5F99
213D6C	5F9E
213D6F	5FA9
213D71	5FAA
213D72	5FAC
213D73	5FAE
213D74	5FB9
213D75	5FB7
213D76	5FB5
213D77	5FBD
213D78	5FC3
213D79	5FC5
213D7A	5FD9
213D7B	5FD8
213D7C	5FCC
213D7D	5FD6
213E21	5FCD
213E22	5FEB
213E23	5FE0
213E24	5FF1
213E25	5FFD
213E26	5FDD
213E27	5FF5
213E28	5FFF
213E29	6014
213E2A	6035
213E2B	602A
213E2C	602F
213E2D	6016
213E2E	601D
213E2F	600F
213E30	6021
213E31	6020
213E32	6028
213E33	6025
213E34	6027
213E35	600E
213E36	6015
213E37	6012
213E38	6059
213E39	6063
213E3A	6068
213E3B	6043
213E3C	6065
213E3D	6050
213E3E	606D
213E3F	6062
213E40	6046
213E41	604D
213E42	606B
213E43	6069
213E44	606C
213E45	606F
213E46	606A
213E47	6064
213E48	6070
213E49	6055
213E4A	608C
213E4B	60A6
213E4C	607F
213E4D	609F
213E4E	609A
213E4F	6096
213E50	6084
213E51	608D
213E52	60A3
213E53	6089
213E54	6094
213E55	60A0
213E56	60A8
213E57	60B4
213E58	60E6
213E59	60CB
213E5B	60C5
213E5C	60B6
213E5D	60D1
213E5E	60B5
213E5F	60BB
213E60	60E0
213E61	60E1
213E62	60DC
213E63	60D8
213E64	60D5
213E65	60BC
213E66	60B2
213E67	60C6
213E68	60B8
213E69	60DA
213E6A	60DF
213E6B	610F
213E6C	611C
213E6D	60F3
213E6E	611F
213E6F	60F0
213E70	60FB
213E71	60FA
213E72	611A
213E73	6115
213E74	60F9
213E75	6123
213E76	60F4
213E77	611B
213E78	610E
213E79	6100
213E7A	6101
213E7B	60F6
213E7C	6109
213E7D	6108
213E7E	60F1
213F21	6148
213F22	6168
213F24	613C
213F26	614C
213F27	614D
213F28	614B
213F29	613E
213F2A	6127
213F2B	6134
213F2C	6147
213F2D	6177
213F2E	6176
213F2F	6167
213F30	6170
213F31	615A
213F32	615D
213F33	6182
213F34	617C
213F35	6162
213F36	616E
213F37	6155
213F38	6158
213F39	6163
213F3A	615F
213F3B	616B
213F3C	617E
213F3D	61A7
213F3E	61B2
